"The data shown here is provided by Statistics Canada from the 2006 Census as a custom data order for the City of Vancouver, using the City's 22 local planning areas",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reproduced provided they are credited to Statistics Canada, Census 2006, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2006,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City of Vancouver),Vancouver CMA  (Metro Vancouver)
 Total population by sex and age groups - 100% data ,,,,,,,,,,,,,,,,,,,,,,,,
"Male & Female, Total"," 16,145 "," 43,415 "," 21,480 "," 29,295 "," 28,205 "," 33,130 "," 44,665 "," 14,615 "," 27,180 "," 40,595 "," 23,785 "," 23,615 "," 12,725 "," 48,885 "," 21,815 "," 8,900 "," 7,070 "," 11,920 "," 35,230 "," 29,200 "," 44,560 "," 12,990 "," 578,040 "," 2,116,580 "
  0 to 4 years, 520 ," 1,460 "," 1,155 ", 955 ," 1,230 "," 1,715 "," 2,370 ", 610 ," 1,210 "," 1,595 ", 935 , 990 , 390 ," 2,385 "," 1,240 ", 310 , 405 , 335 ," 2,165 "," 1,215 "," 1,020 ", 585 ," 24,725 "," 105,285 "
  5 to 9 years, 720 , 960 ," 1,280 ", 610 ," 1,085 "," 1,695 "," 2,395 ", 670 ," 1,385 "," 1,125 ", 925 , 840 , 515 ," 2,500 "," 1,110 ", 485 , 350 , 405 ," 2,185 "," 1,360 ", 645 , 655 ," 23,820 "," 112,270 "
  10 to 14 years," 1,115 ", 710 ," 1,455 ", 540 ," 1,115 "," 1,785 "," 2,450 ", 935 ," 1,630 "," 1,100 "," 1,215 ", 690 , 685 ," 2,745 "," 1,030 ", 465 , 320 , 435 ," 2,120 "," 1,730 ", 480 , 735 ," 25,375 "," 128,190 "
  15 to 19 years," 1,350 "," 1,045 "," 1,660 ", 630 ," 1,105 "," 1,925 "," 2,570 "," 1,280 "," 1,850 "," 1,300 "," 1,655 ", 710 , 930 ," 3,060 "," 1,115 ", 665 , 340 , 440 ," 2,245 "," 2,100 ", 820 , 820 ," 29,490 "," 137,190 "
  20 to 24 years," 1,055 "," 3,920 "," 1,625 "," 1,915 "," 2,155 "," 2,205 "," 3,200 "," 1,065 "," 2,005 "," 3,395 "," 1,880 "," 1,755 "," 1,065 "," 4,030 "," 1,435 ", 700 , 480 , 500 ," 2,585 "," 2,200 "," 4,310 "," 1,065 "," 44,440 "," 148,510 "
  25 to 29 years, 730 ," 6,065 ", 990 ," 3,600 "," 2,895 "," 2,230 "," 3,420 ", 715 ," 1,720 "," 5,375 "," 1,745 "," 3,040 ", 760 ," 3,760 "," 1,790 ", 545 , 605 , 665 ," 2,600 "," 1,880 "," 6,610 ", 810 ," 52,490 "," 143,295 "
  30 to 34 years, 700 ," 5,900 ", 915 ," 3,895 "," 2,900 "," 2,425 "," 3,560 ", 670 ," 1,710 "," 5,165 "," 1,635 "," 3,060 ", 555 ," 3,615 "," 1,880 ", 350 , 650 , 770 ," 2,770 "," 1,680 "," 5,840 ", 655 ," 51,235 "," 146,405 "
  35 to 39 years," 1,010 "," 4,910 "," 1,440 "," 3,105 "," 2,890 "," 2,740 "," 3,885 ", 975 ," 2,010 "," 4,435 "," 2,000 "," 2,720 ", 725 ," 3,865 "," 1,995 ", 465 , 650 , 870 ," 2,820 "," 1,955 "," 4,905 ", 845 ," 51,130 "," 165,640 "
