AREA,AVG_INCOME_2006,AVG_VALUE_DWELLINGS_2006,POSTSECONDARY_PCT_2006,MANAGEMENT_PCT_2006
Arbutus-Ridge,0.20715617816715098,0.002891045172127009,0.06639145396303263,0.5121844300763673
Downtown,0.029127813679142994,-0.40934851948899054,0.2302789278914565,0.678382665119546
Dunbar-Southlands,0.5809775773084096,0.10219221456904035,0.3271802406025469,0.5295918456822555
Fairview,0.10289283081059981,-0.5700030162955595,0.6144962529631451,0.268920868788462
Grandview-Woodland,-0.5486403261482413,-0.5865046035568084,-0.47347974977181356,-0.5821885155213483
Hastings-Sunrise,-0.5415969120006939,-0.4275781990506989,-0.9688507156341415,-0.6540642108605359
Kensington-Cedar Cottage,-0.5818102962224053,-0.4397159902086871,-0.908865290081379,-0.710664490080888
Kerrisdale,0.8333261048705383,0.2594232007887749,0.1785257650986217,0.6156092934997646
Killarney,-0.4620028624712669,-0.48250684717244224,-0.4655245877087414,-0.43323202732494304
Kitsilano,0.1012620896040248,-0.31279559772116905,0.5805598432462566,0.1966011532341096
Marpole,-0.4311575660320076,-0.2990180551156161,-0.09103893668201382,-0.27609114803266843
Mount Pleasant,-0.4338639025024938,-0.6017052809980338,-0.050362419228241924,-0.5905774011366857
Oakridge,-0.1408856312616559,-0.021504341862158622,-0.18697382410484764,0.7729563007770349
Renfrew-Collingwood,-0.604536583250206,-0.4927797992302849,-0.8761713529211238,-0.722248025173013
Riley Park,-0.3101010539098755,-0.3223509316178266,-0.06373833536289242,-0.24533165712950578
Shaughnessy,2.90703907706987,0.6300663252232195,0.24250105927122134,0.7825246312899402
South Cambie,-0.012855098234809386,-0.19859265760446834,0.4483583556997644,0.040118968212183484
Strathcona,-0.8358936548553585,-0.5342419129546112,-1.3591385892274082,-0.7660462685351253
Sunset,-0.6315999479550679,-0.3875731043247991,-0.9374440679868797,-0.8613991459998607
Victoria-Fraserview,-0.5848635989070564,-0.3561588550057346,-0.9540251964243828,-0.5630362948146197
West End,-0.2605542785271284,-0.5984148867648763,0.3425524704938076,-0.040118968212183484
West Point Grey,0.6763238929609229,0.2144601269627477,0.4703198547978198,0.3619173928213252
