AREA,AVG_INCOME_2006,AVG_VALUE_DWELLINGS_2006,POSTSECONDARY_PCT_2006,MANAGEMENT_PCT_2006
Arbutus-Ridge,0.21615995220984224,0.0029463009216594126,0.1360398535643972,0.6049057604109094
Downtown,0.03039381624322294,-0.4171722849155621,0.31665308432209066,0.7810147380537774
Dunbar-Southlands,0.6062290126082746,0.10414538619943522,0.423443790981315,0.6233512160137383
Fairview,0.10736493397174227,-0.580897326839303,0.7400822258596803,0.34713589260788486
Grandview-Woodland,-0.5724862648552266,-0.5977143043896369,-0.4589286328141351,-0.5547268948886871
Hastings-Sunrise,-0.5651367178660971,-0.4357503833181897,-1.0048553496236787,-0.6308886857781392
Kensington-Cedar Cottage,-0.6070979245675805,-0.44812016073310973,-0.938748030694648,-0.6908641560664212
Kerrisdale,0.8695455409429504,0.26438148492209845,0.2596181828138455,0.7144980611691918
Killarney,-0.482083216422436,-0.4917288675518108,-0.45016159597494376,-0.3968878249206722
Kitsilano,0.10566331471810143,-0.318773973766329,0.7026823901531337,0.2705036036645567
Marpole,-0.44989726926314455,-0.3047331047863824,-0.037457307580852126,-0.23037631178171455
Mount Pleasant,-0.4527212331308889,-0.6132055081891195,0.0073705066333449335,-0.5636160270079072
Oakridge,-0.14700904211507654,-0.02191534842104971,-0.1431829591177174,0.8812279941288639
Renfrew-Collingwood,-0.6308119801236389,-0.5021981637108592,-0.9027174697545141,-0.7031384411816297
Riley Park,-0.3235791931790411,-0.3285119361260706,-0.0073705066333449335,-0.1977825691684809
Shaughnessy,3.03338975226958,0.6421086092355867,0.3301225617771426,0.8913669038708296
South Cambie,-0.013413828371785704,-0.20238830433228946,0.5569889017833445,0.10469006409012073
Strathcona,-0.8722246861508105,-0.5444527313868303,-1.4349745776863216,-0.7495484638816373
Sunset,-0.6590516188010825,-0.3949806822431722,-0.9702434542611459,-0.8505874295557161
Victoria-Fraserview,-0.6102839350850358,-0.36296602103540465,-0.9885167920881333,-0.5344325878680604
West End,-0.2718789316003367,-0.6098522255578964,0.4403848544931192,0.019667374479743437
West Point Grey,0.7057194319488066,0.2185590442589526,0.5811917112434153,0.4456779906482944
Vancouver CMA,-0.23180036747734944,-0.4692055131222311,-0.39990305484998007,-0.07417195515931252
