,AREA,AVG_INCOME_2006,AVG_VALUE_DWELLINGS_2006,POSTSECONDARY_PCT_2006,MANAGEMENT_PCT_2006,AVG_INCOME_2016,AVG_VALUE_DWELLINGS_2016,POSTSECONDARY_PCT_2016,MANAGEMENT_PCT_2016,SCORE_2006,SCORE_2016,RANK_2006,RANK_2016,RANK_CHANGE,Z_SCORE,STATUS
0,Arbutus-Ridge,48496,903780,0.6527212143650499,0.1622962437987243,62675,2500033,0.6495595557257756,0.1933579335793357,0.0878266569219765,1.8048750979999408,5.0,5.0,0.0,0.0,stb
1,Downtown,43365,563128,0.6850473186119874,0.1754803293687099,63251,941493,0.7671432474273746,0.1776833687367237,-0.1761658215888266,0.7119133894564923,8.0,9.0,-1.0,-0.6191391873668903,stb
2,Dunbar-Southlands,59270,985837,0.7041606886657101,0.163677130044843,78117,3026785,0.6913996627318718,0.1760391198044009,0.4844691368197927,2.551345350665691,4.0,2.0,2.0,1.2382783747337807,asc
3,Fairview,45491,430372,0.7608325449385052,0.142998760842627,61627,761230,0.7923651452282158,0.1380070546737213,-0.256534724221087,0.3900377646315426,10.0,11.0,-1.0,-0.6191391873668903,stb
4,Grandview-Woodland,26713,416736,0.5462339252908757,0.0754824063564131,42896,899002,0.6256994018907969,0.1001569037656903,-1.3695764088228597,-0.3786396704144382,17.0,16.0,1.0,0.6191391873668903,stb
5,Hastings-Sunrise,26916,548064,0.4485241180705543,0.0697806892623184,38258,1266054,0.4700782046922815,0.0908850026497085,-1.4576677835657248,-0.5031698551618705,19.0,18.0,1.0,0.6191391873668903,stb
6,Kensington-Cedar Cottage,25757,538034,0.4603559870550162,0.0652907322881524,38411,1214877,0.5217131235793755,0.0790110650069156,-1.4916047584626857,-0.5067232611676733,20.0,19.0,1.0,0.6191391873668903,stb
7,Kerrisdale,66543,1115764,0.6748392282958199,0.1705006765899864,77248,2879632,0.6608623548922057,0.1579358874120406,0.7278510596035008,2.277162162584122,2.0,4.0,-2.0,-1.2382783747337807,dec
8,Killarney,29210,502674,0.5478030470302495,0.087298747763864,39013,1097209,0.5446808510638298,0.0957792207792207,-1.188320969987294,-0.4678306562108868,16.0,17.0,-1.0,-0.6191391873668903,stb
9,Kitsilano,45444,642914,0.7541387330688193,0.1372618207480593,63092,1327707,0.7667100130039012,0.1413966383642349,-0.1277231952185673,0.8427105305872471,6.0,8.0,-2.0,-1.2382783747337807,dec
10,Marpole,30099,654299,0.6216687422166874,0.0997643362136685,39020,1695892,0.6048632218844985,0.1095380029806259,-0.8614759952210079,0.176557137581007,13.0,12.0,1.0,0.6191391873668903,stb
11,Mount Pleasant,30021,404175,0.6296920115495669,0.0748169372811206,54260,803459,0.7471343028229256,0.1302345058626465,-1.16530924476473,0.1471060867854085,15.0,13.0,2.0,1.2382783747337807,asc
12,Oakridge,38465,883621,0.602745995423341,0.1829826166514181,46515,2414767,0.614578786556089,0.1578029642545771,-0.1368020631748276,1.1552018592294429,7.0,7.0,0.0,0.0,stb
13,Renfrew-Collingwood,25102,494185,0.4668047265196735,0.0643718397510696,33360,1099509,0.4821646849649961,0.0758798283261802,-1.533836087190835,-0.7921888880529719,21.0,22.0,-1.0,-0.6191391873668903,stb
14,Riley Park,33588,635018,0.627053669222344,0.1022044088176352,53060,1695195,0.6596361718955972,0.1117847669571807,-0.7795726849254374,0.5888991555975193,12.0,10.0,2.0,1.2382783747337807,asc
15,Shaughnessy,126310,1422043,0.687458081824279,0.1837416481069042,118668,3247312,0.6971046770601337,0.1979695431472081,2.362541942663433,3.7266760954106974,1.0,1.0,0.0,0.0,stb
16,South Cambie,42155,737285,0.7280625543006082,0.1248484848484848,65459,1907007,0.7181259600614439,0.1347678369195923,-0.228719309836451,1.2381694912451957,9.0,6.0,3.0,1.857417562100671,asc
17,Strathcona,18434,459923,0.3715415019762846,0.0608974358974358,31534,845567,0.4676503972758229,0.1048565121412803,-1.8887798902733213,-0.9219848509056636,23.0,23.0,0.0,0.0,stb
18,Sunset,24322,581122,0.4547189451769604,0.0533333333333333,34212,1456880,0.4845226458129684,0.0687344913151364,-1.555047137451064,-0.519783920335327,22.0,20.0,2.0,1.2382783747337807,asc
19,Victoria-Fraserview,25669,607081,0.4514483884128927,0.0770017035775127,34298,1441615,0.4468608169440242,0.075968992248062,-1.3989908660805062,-0.5613048042199466,18.0,21.0,-3.0,-1.857417562100671,dec
20,West End,35016,406894,0.7071927953548999,0.1184834123222748,47253,670773,0.7482962797452799,0.1316731285416045,-0.7131759151911159,-0.1025827910851496,11.0,14.0,-3.0,-1.857417562100671,dec
21,West Point Grey,62018,1078609,0.7323943661971831,0.150375939849624,82042,2830724,0.7170665459483929,0.132716049382716,0.6044367273156136,2.321891826654661,3.0,3.0,0.0,0.0,stb
22,Vancouver CMA,36123,520937,0.5567983063082599,0.111458297712273,46821,1005920,0.5751847196692846,0.1155386862606232,-0.8929813759011639,-0.2231785423218533,14.0,15.0,-1.0,-0.6191391873668903,stb
